team,meds,x,y,cluster
SVK,41,-1.4415768522059011,0.35075427825003264,2
BAH,40,-1.8015671616842712,-0.27838513088274,2
KAZ,27,-1.629183266583566,-0.5287036077187722,2
CHN,383,2.0834919525760345,-1.1080564206728512,0
PAR,17,-1.9490960041502958,-0.03249227994263135,2
POR,28,-1.7391154068173662,-0.08960651613714167,2
GUA,1,-2.0777414961124965,-0.11738662290768011,2
LUX,2,-2.085808931327648,-0.15179560235490278,2
TAN,2,-2.085734897804156,-0.10606100524096392,2
LIB,3,-2.0396143949765793,-0.16079384015255896,2
KGZ,2,-2.056189549939777,-0.21447736488933275,2
COL,13,-1.8911194854792641,-0.11725581597332406,2
LAT,14,-1.9269541825798402,-0.08521527053404383,2
AHO,1,-2.0623197545420906,-0.11587540636848416,2
GEO,19,-1.7222980548336644,-0.5420176752886847,2
CRO,31,-1.7684247578210985,-0.06727987079963767,2
TOG,1,-2.0855881717408717,-0.10599029349327045,2
ALG,9,-2.045356564201192,-0.18434296639253547,2
PER,3,-2.0500561289140387,-0.16856571596806066,2
SLO,25,-1.794292157023324,-0.03270005562423876,2
ZIM,22,-1.9796038732308137,0.0359434287063039,2
TPE,2,-2.0832418963615433,-0.13320333598441006,2
MGL,11,-1.8717776196802678,-0.39547972547905436,2
PUR,2,-2.066843124887531,-0.07787961204546964,2
IRL,15,-1.9721607881121839,-0.17146213783819556,2
VEN,6,-2.02777647316614,-0.11497914973815691,2
SEN,1,-2.0931321258421787,-0.06092301285633697,2
UZB,11,-1.9067811905723315,-0.3301612762796159,2
ISL,2,-2.0690154424664993,-0.08214921440129444,2
EST,32,-1.623022784373609,-0.24521969774913263,2
NAM,4,-2.0712974510563322,-0.12361688243896042,2
ISR,4,-2.010749026181153,-0.05552276035263251,2
VNM,2,-2.1108803296232246,-0.1918587410646381,2
ISV,1,-2.082980329813478,-0.09638266262551672,2
PRK,16,-1.8320918144757827,-0.5009960673875955,2
MKD,1,-2.0774704845871996,-0.12029644748863817,2
SUD,1,-2.073078643712537,-0.03189131260091452,2
BRN,3,-2.091331168620991,-0.2265524435090742,2
GRN,2,-2.0721723963589147,-0.10889997654211588,2
SRI,2,-2.0962544843836404,-0.18870471086859505,2
MDA,4,-2.031589521894494,-0.08996328835354005,2
CYP,1,-2.0656043801491135,-0.07395327262253762,2
PAN,3,-2.07132008655783,-0.09051359216832018,2
ZAM,1,-2.0926767258802186,-0.09034637571608851,2
MOZ,2,-2.0935085576923598,-0.19969884645302446,2
SUR,2,-2.074272260558259,-0.09804257022942021,2
BDI,2,-2.0815568066999495,-0.1640868652157769,2
ECU,2,-2.1023472690252727,-0.19864256567480718,2
CRC,4,-2.052772991598688,-0.041181884662957996,2
DJI,1,-2.1046507320631274,-0.12277720706247154,2
DOM,3,-2.0852804783605676,-0.14777461142443662,2
SGP,1,-2.0770040183686143,-0.07636360838811443,2
ERI,1,-2.0922562430897553,-0.22022477872399124,2
BAR,1,-2.082878866007757,-0.08927292652445569,2
CIV,1,-2.073849199657034,-0.0957763303086371,2
PHI,4,-2.0690900290495957,-0.14731599606669268,2
